,pID,Condition,cond,EA_corr,factual_accuracy,maas1,maas2,maas3,maas4,maas5,maas6,maas7,maas8,maas9,maas10,maas11,maas12,maas13,maas14,maas15,gender,age,race,race_other,race_mixed,speaker_know,speaker_similar_exp,maas,EA_corrz,similar_combined,rAvg,val,inten,T
1,sub-01,1,compassion,0.723104768,NA,5,5,3,1,4,1,4,5,3,4,3,6,1,3,5,2,19,1,,,3,1,3.533333333,0.914121915,0,0.38516342,1,0.069460938,1
2,sub-01,1,compassion,0.723104768,NA,5,5,3,1,4,1,4,5,3,4,3,6,1,3,5,2,19,1,,,3,1,3.533333333,0.914121915,0,0.922598011,1,0.899208333,2
3,sub-01,1,compassion,0.723104768,NA,5,5,3,1,4,1,4,5,3,4,3,6,1,3,5,2,19,1,,,3,1,3.533333333,0.914121915,0,-0.14863689,-1,0.443875,3
4,sub-01,1,compassion,0.723104768,NA,5,5,3,1,4,1,4,5,3,4,3,6,1,3,5,2,19,1,,,3,1,3.533333333,0.914121915,0,-0.166426764,-1,2.784208333,4
5,sub-01,1,compassion,0.723104768,NA,5,5,3,1,4,1,4,5,3,4,3,6,1,3,5,2,19,1,,,3,1,3.533333333,0.914121915,0,0.651942785,1,0.553041667,5
6,sub-01,1,compassion,0.723104768,NA,5,5,3,1,4,1,4,5,3,4,3,6,1,3,5,2,19,1,,,3,1,3.533333333,0.914121915,0,-0.945737208,-1,0.206875,6
7,sub-01,1,compassion,0.723104768,NA,5,5,3,1,4,1,4,5,3,4,3,6,1,3,5,2,19,1,,,3,1,3.533333333,0.914121915,0,-0.331267057,1,2.231375,7
8,sub-01,1,compassion,0.723104768,NA,5,5,3,1,4,1,4,5,3,4,3,6,1,3,5,2,19,1,,,3,1,3.533333333,0.914121915,0,0.737010718,1,1.678625,8
9,sub-01,1,compassion,0.723104768,NA,5,5,3,1,4,1,4,5,3,4,3,6,1,3,5,2,19,1,,,3,1,3.533333333,0.914121915,0,0.765643396,1,3.503375,9
10,sub-01,1,compassion,0.723104768,NA,5,5,3,1,4,1,4,5,3,4,3,6,1,3,5,2,19,1,,,3,1,3.533333333,0.914121915,0,0.769925515,1,3.816458333,10
11,sub-01,1,compassion,0.723104768,NA,5,5,3,1,4,1,4,5,3,4,3,6,1,3,5,2,19,1,,,3,1,3.533333333,0.914121915,0,0.823397571,1,1.853708333,11
12,sub-01,1,compassion,0.723104768,NA,5,5,3,1,4,1,4,5,3,4,3,6,1,3,5,2,19,1,,,3,1,3.533333333,0.914121915,0,0.383880428,-1,2.643208333,12
13,sub-01,1,compassion,0.723104768,NA,5,5,3,1,4,1,4,5,3,4,3,6,1,3,5,2,19,1,,,3,1,3.533333333,0.914121915,0,0.83573374,-1,4.203458333,13
14,sub-01,1,compassion,0.723104768,NA,5,5,3,1,4,1,4,5,3,4,3,6,1,3,5,2,19,1,,,3,1,3.533333333,0.914121915,0,-0.290699026,-1,4.41189693,14
15,sub-02,2,control,0.800972694,53,5,2,3,5,4,4,5,5,5,4,4,6,4,4,3,2,25,1,,,3,1,4.2,1.101320076,0,NA,1,0.069460938,1
16,sub-02,2,control,0.800972694,53,5,2,3,5,4,4,5,5,5,4,4,6,4,4,3,2,25,1,,,3,1,4.2,1.101320076,0,0.47515634,1,0.899208333,2
17,sub-02,2,control,0.800972694,53,5,2,3,5,4,4,5,5,5,4,4,6,4,4,3,2,25,1,,,3,1,4.2,1.101320076,0,-0.461850745,-1,0.443875,3
18,sub-02,2,control,0.800972694,53,5,2,3,5,4,4,5,5,5,4,4,6,4,4,3,2,25,1,,,3,1,4.2,1.101320076,0,-0.392177997,-1,2.784208333,4
19,sub-02,2,control,0.800972694,53,5,2,3,5,4,4,5,5,5,4,4,6,4,4,3,2,25,1,,,3,1,4.2,1.101320076,0,-0.511237267,1,0.553041667,5
20,sub-02,2,control,0.800972694,53,5,2,3,5,4,4,5,5,5,4,4,6,4,4,3,2,25,1,,,3,1,4.2,1.101320076,0,0.808273408,-1,0.206875,6
21,sub-02,2,control,0.800972694,53,5,2,3,5,4,4,5,5,5,4,4,6,4,4,3,2,25,1,,,3,1,4.2,1.101320076,0,-0.641366091,1,2.231375,7
22,sub-02,2,control,0.800972694,53,5,2,3,5,4,4,5,5,5,4,4,6,4,4,3,2,25,1,,,3,1,4.2,1.101320076,0,0.905296221,1,1.678625,8
23,sub-02,2,control,0.800972694,53,5,2,3,5,4,4,5,5,5,4,4,6,4,4,3,2,25,1,,,3,1,4.2,1.101320076,0,-0.06795456,1,3.503375,9
24,sub-02,2,control,0.800972694,53,5,2,3,5,4,4,5,5,5,4,4,6,4,4,3,2,25,1,,,3,1,4.2,1.101320076,0,0.806854802,1,3.816458333,10
25,sub-02,2,control,0.800972694,53,5,2,3,5,4,4,5,5,5,4,4,6,4,4,3,2,25,1,,,3,1,4.2,1.101320076,0,-0.001617734,1,1.853708333,11
26,sub-02,2,control,0.800972694,53,5,2,3,5,4,4,5,5,5,4,4,6,4,4,3,2,25,1,,,3,1,4.2,1.101320076,0,0.766039009,-1,2.643208333,12
27,sub-02,2,control,0.800972694,53,5,2,3,5,4,4,5,5,5,4,4,6,4,4,3,2,25,1,,,3,1,4.2,1.101320076,0,0.833675465,-1,4.203458333,13
28,sub-02,2,control,0.800972694,53,5,2,3,5,4,4,5,5,5,4,4,6,4,4,3,2,25,1,,,3,1,4.2,1.101320076,0,-0.84873519,-1,4.41189693,14
29,sub-03,2,control,0.842812476,37,5,4,5,5,4,3,5,5,5,5,5,5,3,5,5,2,21,1,,,3,1,4.6,1.230804345,0,0.375679987,1,0.069460938,1
30,sub-03,2,control,0.842812476,37,5,4,5,5,4,3,5,5,5,5,5,5,3,5,5,2,21,1,,,3,1,4.6,1.230804345,0,0.537638847,1,0.899208333,2
31,sub-03,2,control,0.842812476,37,5,4,5,5,4,3,5,5,5,5,5,5,3,5,5,2,21,1,,,3,1,4.6,1.230804345,0,0.011063493,-1,0.443875,3
